time,sex,age,geo,isced97,day,day_flag,mth,mth_flag,week,week_flag,lt1m,lt1m_flag,nvr_occ,nvr_occ_flag,nbinge,nbinge_flag,serialid
2008,Females,Total,Belgium,"Pre-primary, primary and lower secondary education (levels 0-2)",0.9,Low reliability,4.5,Low reliability,2.6,Low reliability,7.6,Low reliability,59.1,Low reliability,25.3,Low reliability,1
2008,Females,Total,Belgium,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.2,,5.4,,3.1,,13.0,,48.9,,29.5,,2
2008,Females,Total,Belgium,First and second stage of tertiary education (levels 5 and 6),0.5,,6.8,,2.5,,14.7,,38.6,,37.0,,3
2008,Females,Total,Belgium,All ISCED 1997 levels,0.5,Low reliability,5.5,Low reliability,2.7,Low reliability,11.7,Low reliability,49.0,Low reliability,30.5,Low reliability,4
2008,Females,Total,Bulgaria,"Pre-primary, primary and lower secondary education (levels 0-2)",,,0.7,,0.3,,1.9,,88.3,,8.9,,5
2008,Females,Total,Bulgaria,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.7,,0.3,,3.5,,79.2,,16.3,,6
2008,Females,Total,Bulgaria,First and second stage of tertiary education (levels 5 and 6),,,1.3,,,,5.5,,73.0,,20.2,,7
2008,Females,Total,Bulgaria,All ISCED 1997 levels,,,0.8,,0.2,,3.3,,81.1,,14.6,,8
2008,Females,Total,Cyprus,"Pre-primary, primary and lower secondary education (levels 0-2)",,,0.1,,0.1,,0.5,,87.6,,11.7,,9
2008,Females,Total,Cyprus,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.4,,0.1,,2.5,,77.2,,19.8,,10
2008,Females,Total,Cyprus,First and second stage of tertiary education (levels 5 and 6),,,0.3,,0.2,,3.7,,68.5,,27.3,,11
2008,Females,Total,Cyprus,All ISCED 1997 levels,,,0.3,,0.1,,2.0,,79.3,,18.3,,12
2008,Females,Total,Czech Republic,"Pre-primary, primary and lower secondary education (levels 0-2)",,,3.2,,0.9,,11.4,,71.4,,13.0,,13
2008,Females,Total,Czech Republic,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.1,,6.7,,1.0,,12.3,,61.9,,18.0,,14
2008,Females,Total,Czech Republic,First and second stage of tertiary education (levels 5 and 6),,,11.8,,,,24.3,,35.9,,28.0,,15
2008,Females,Total,Czech Republic,All ISCED 1997 levels,0.1,,6.5,,0.9,,13.4,,61.1,,18.1,,16
2008,Females,Total,Greece,"Pre-primary, primary and lower secondary education (levels 0-2)",0.1,,0.1,,0.1,,2.0,,78.8,,19.1,,17
2008,Females,Total,Greece,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,0.9,,0.2,,7.2,,62.2,,29.5,,18
2008,Females,Total,Greece,First and second stage of tertiary education (levels 5 and 6),0.1,,0.8,,0.6,,6.4,,56.8,,35.3,,19
2008,Females,Total,Greece,All ISCED 1997 levels,0.0,,0.5,,0.2,,4.7,,68.7,,25.9,,20
2008,Females,Total,Spain,"Pre-primary, primary and lower secondary education (levels 0-2)",0.1,,0.3,,0.6,,1.5,,80.2,,17.3,,21
2008,Females,Total,Spain,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.1,,1.5,,1.4,,4.1,,66.1,,26.8,,22
2008,Females,Total,Spain,First and second stage of tertiary education (levels 5 and 6),0.1,,1.3,,1.1,,5.3,,56.8,,35.5,,23
2008,Females,Total,Spain,All ISCED 1997 levels,0.1,,0.8,,0.9,,3.0,,71.6,,23.7,,24
2008,Females,Total,Hungary,"Pre-primary, primary and lower secondary education (levels 0-2)",,,1.2,,0.8,,1.1,,87.9,,9.1,,25
2008,Females,Total,Hungary,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,1.6,,1.6,,3.4,,79.2,,14.3,,26
2008,Females,Total,Hungary,First and second stage of tertiary education (levels 5 and 6),,,2.0,,0.2,,5.1,,70.2,,22.6,,27
2008,Females,Total,Hungary,All ISCED 1997 levels,,,1.6,,1.0,,3.0,,80.2,,14.3,,28
2008,Females,Total,Latvia,"Pre-primary, primary and lower secondary education (levels 0-2)",0.3,,2.4,,1.4,,2.7,,87.4,,5.8,,29
2008,Females,Total,Latvia,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.1,,2.9,,1.3,,6.3,,77.4,,12.0,,30
2008,Females,Total,Latvia,First and second stage of tertiary education (levels 5 and 6),,,3.1,,1.1,,6.3,,72.1,,17.4,,31
2008,Females,Total,Latvia,All ISCED 1997 levels,0.1,,2.8,,1.3,,5.3,,78.9,,11.6,,32
2008,Females,Total,Malta,"Pre-primary, primary and lower secondary education (levels 0-2)",,,0.7,,1.0,,2.2,,84.9,,11.1,,33
2008,Females,Total,Malta,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),,,4.4,,3.6,,9.7,,66.3,,16.0,,34
2008,Females,Total,Malta,First and second stage of tertiary education (levels 5 and 6),,,5.2,,2.2,,14.7,,55.2,,22.8,,35
2008,Females,Total,Malta,All ISCED 1997 levels,,,3.2,,2.5,,7.6,,71.6,,15.1,,36
2008,Females,Total,Romania,"Pre-primary, primary and lower secondary education (levels 0-2)",0.1,,0.9,,0.6,,2.4,,87.4,,8.6,,37
2008,Females,Total,Romania,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),0.0,,0.6,,0.5,,2.9,,84.9,,11.1,,38
2008,Females,Total,Romania,First and second stage of tertiary education (levels 5 and 6),,,0.7,,0.6,,2.6,,80.8,,15.3,,39
