Table name: "2011"
Table description: "The families portion of the National Health Interview Survey (NHIS) for 2011. The information in this section includes but is not limited to basic demographic family information such as number of children and seniors, health issues amongst any family members, medical treatment and providers, income and employment, and financial assistance. Please note that some questions in the survey are conditional and depend on age, past health issues, etc. and only apply to certain groups or individuals . For further information regarding these survey questions' (column fields shown here) specificities and methodology please see the following URL : ftp://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2011/familyxx_layout.pdf"
Table datapath: "us.gov.cdc.nhis.familyxx.2011"

-----

column_name,column_description,column_id
"Record Type","File type identifier.","rectype"
"Survey Year","Year of National Health Interview Survey","srvy_yr"
"Household ID","Identifier assigned to this specific household.","hhx"
"Family ID","Identifier assigned to this specific family.","fmx"
"Final Annual Weight","Final annual weight; no census control totals for the number of civilian, non-institutionalized families exist. This weight is equal to the final person weight (WTFA) of the family member with the smallest post-stratification adjustment. ","wtfa_fam"
"Interview Date","Date of Interview - month.","fint_m_p"
"Interview Completed","Year the interview was completed.","fint_y_p"
"Phone Number Supplied","Indicates that the family supplied a telephone number.","teln_flg"
"Phone","Indicates whether or not there is a working telephone inside the home.","curwrkn"
"Without Service","Indicates whether or not the family has been without telephone service in the last 12 months.","rnoservn"
"Days Without Service","Number of days family went without telephone service.","rhlngdy"
"Cell Phone","Indicates if there is a working cellphone in the family.","telceln"
"Cell Phone Count","Number of working cell phones in the family.","wrkceln"
"Working During Outage","Indicates if there is/was a working cellphone in the family during a land-line outage.","cellout"
"Phone Use ","Indicates how frequently the family receives calls on a cellphone, landline, or both.","phoneuse"
"Language","Language of interview.","flngintv"
"Size","Size of the family.","fm_size"
"Kids","The number of family members under 18 years of age.","fm_kids"
"Elders","Then number of family members 65 and older.","fm_eldr"
"Family Type","Type of family.","fm_type"
"Family Structure (1)","Family structure.","fm_strcp"
"Family Structure (2)","Family structure.","fm_strp"
"Education","Education of the adult with the highest education in the family.","fm_educ1"
"Play Limitations","Indicates if there are children under the age of 5 in the family with play limitations.","fchlmyn"
"Play Limitations Count","Number of children under the age of 5 in the family with play limitations.","fchlmct"
"Special Education","Indicates if any children in the family receive Special Education/EIS.","fspedyn"
"Special Education Count","Number of children in the family that receive Special Education/EIS.","fspedct"
"ADL Help","Indicates if any family member needs help with an activity of daily living (ADL) related to personal care such as eating, bathing, dressing, or getting around inside the home.","flaadlyn"
"ADL Help Count","Number of members in the family that need help with an activity of daily living (ADL) related to personal care such as eating, bathing, dressing, or getting around inside the home.","flaadlct"
"IADL Help","Indicates if anyone in the family needs the help of other persons in handling routine needs such as everyday household chores, doing necessary business, shopping, or getting around for other purposes due to a physical, mental or emotional problem.","fliadlyn"
"IADL Help Count","Number of family members that need help with an instrumental activity of daily living (IADL) related to routine needs such as household chores, doing necessary business, shopping, or getting around for other purposes.","fliadlct"
"Work Limitation","Indicates if any family members have work limitations due to a health problem?","fwklimyn"
"Work Limitation Count","The number of family members that have work limitations due to a health problem.","fwklimct"
"Walking Difficulty","Indicates if any family member has difficulty walking without equipment.","fwalkyn"
"Walking Difficulty Count","Number of family members that have difficulty walking without equipment.","fwalkct"
"Memory Problem","Indicates if any family members are limited by difficulty remembering.","frememyn"
"Memory Problem Count","The number of family members limited by difficulty remembering.","frememct"
"General Limitation","Indicates if any family member is limited in any way.","fanylyn"
"General Limitation Count","The number of family members with any limitation.","fanylct"
"Excellent Health","The number of family members in excellent health.","fhstatex"
"Very Good Health","The number of family members in very good health.","fhstatvg"
"Good Health","The number of family members in good health.","fhstatg"
"Fair Health","The number of family members in fair health.","fhstatfr"
"Poor Health","The number of family members in poor health.","fhstatpr"
"Food Run Out","Indicates how often the family was worried that food would run out before they got money to buy more.","fsrunout"
"Food Shortage","Indicates how often the food the family bought did not last before it had the money to buy more in the last 30 days.","fslast"
"No Balanced Meals","Indicates how often the family could not afford to eat balanced meals in the last 30 days.","fsbalanc"
"Meals Skipped","Indicates how often the family cut the size of or skipped meals because of not having enough money in the last 30 days.","fsskip"
"Meals Skipped Count","Number of days in the past 30 days the family had to cut the size of or skip meals.","fsskdays"
"Eaten Less","Indicates if the family ate less than they felt they should in the last 30 days because there wasn't enough money for food.","fsless"
"Hungry, Not Eaten","Indicates if the family did not eat at one point the last 30 days despite being hungry because there was not enough money for food.","fshungry"
"Lost Weight","Indicates if the interviewee lost any weight in the past 30 days because of not having enough money for food.","fsweight"
"24 Hours Hungry","Indicates if any members of the family did not eat for an entire day in the last 30 days because there was not enough money for food.","fsnoteat"
"24 Hours Hungry Count","The number of days in the last 30 days that a member or members of the family went without food for an entire day.","fsnedays"
"Raw Score","The family's raw score on the 30-day food security scale ","fsraw"
"Raw Food Details","Detailed family level food security status on the 30 day food security scale.","fsstatd"
"Food Security Status","Family level food security status on the 30 day food security scale.","fsstat"
"Medical Delay","Indicates if any family member delayed seeking medical care in the past twelve months due to worry about the cost.","fdmedyn"
"Medical Delay Count","The number of family members for whom medical care was delayed in the past twelve months.","fdmedct"
"Medical Delay No Funds","Indicates if any family member delayed seeking needed medical care in the last twelve months because the family could not afford it.","fnmedyn"
"Medical Delay No Funds Count","The number of family members that delayed seeking needed medical care in the last twelve months because the family could not afford it.","fnmedct"
"Hospital Overnight","Indicates if any family members were in the hospital overnight over the last twelve months.","fhosp2yn"
"Hospital Overnight Count","Indicates how many family members were in the hospital overnight over the last twelve months.","fhosp2ct"
"Home Care","Indicates if any member of the family received care at home from a nurse or other health care professional in the last two weeks. This does not include dental care or care received while a patient in a hospital.","fhchmyn"
"Home Care Count","The number of family members that received care at home from a nurse or other health care professional in the last two weeks. This does not include dental care or care received while a patient in a hospital.","fhchmct"
"Phone Consultation","Indicates if any family member got any medical advice or test results over the phone from a doctor, nurse, or other health care professional in the last two weeks. This does not include phone calls to make appointments, for billing questions, or for prescription refills.","fhcphryn"
"Phone Consultation Count","The number of family members that got any medical advice or test results over the phone from a doctor, nurse, or other health care professional in the last two weeks. This does not include phone calls to make appointments, for billing questions, or for prescription refills.","fhcphrct"
"Office Visit","Indicates if any family members saw a doctor or other healthcare professional at a doctor's office, a clinic, an emergency room, or some other place in the last two weeks.","fhcdvyn"
