Source,Target
Nicholas_of_Cusa,Pseudo-Dionysius_the_Areopagite
Nicholas_of_Cusa,Proclus
Nicholas_of_Cusa,Johannes_Kepler
Nicholas_of_Cusa,Giordano_Bruno
Nicholas_of_Cusa,Georg_Wilhelm_Friedrich_Hegel
Nicholas_of_Cusa,Meister_Eckhart
Nicholas_of_Cusa,Giovanni_Pico_della_Mirandola
Nicholas_of_Cusa,Gottfried_Wilhelm_Leibniz
Nicholas_of_Cusa,Immanuel_Kant
Nicholas_of_Cusa,Johannes_Scotus_Eriugena
Lucretius,Cicero
Lucretius,Democritus
Lucretius,Empedocles
Lucretius,Virgil
Lucretius,Epicurus
Lucretius,Ovid
Lucretius,Epicureanism
Lucretius,George_Santayana
Burton_Dreben,Willard_Van_Orman_Quine
Solidarity_(Polish_trade_union),Leszek_Kołakowski
Quentin_Skinner,Hannah_Arendt
Michel_Houellebecq,Claude_Vorilhon
Barry_Wellman,Georg_Simmel
Muhammad_Taqi-ud-Din_al-Hilali,Dawud_al-Zahiri
George_Campbell_(minister),Rhetoric
Roderick_Long,Robert_Nozick
Roderick_Long,Herbert_Spencer
Emil_Lask,Martin_Heidegger
Emil_Lask,György_Lukács
Emil_Lask,Eugen_Herrigel
Plato,Heraclitus
Plato,Gorgias
Plato,Parmenides
Plato,Friedrich_Nietzsche
Plato,Cicero
Plato,Plutarch
Plato,Aristotle
Plato,Theology
Plato,Martin_Heidegger
Plato,Anselm_of_Canterbury
Plato,René_Descartes
Plato,Pythagoras
Plato,Protagoras
Plato,Hans-Georg_Gadamer
Plato,Augustine_of_Hippo
Plato,Socrates
Plato,Stoicism
Plato,Philosophy
Plato,Bertrand_Russell
Plato,Zeno_of_Elea
Plato,Niccolò_Machiavelli
Plato,Gottfried_Wilhelm_Leibniz
Plato,Western_philosophy
Plato,Søren_Kierkegaard
Plato,Ruhollah_Khomeini
Plato,Neoplatonism
Plato,John_Stuart_Mill
Plato,Arthur_Schopenhauer
Plato,Thomas_Hobbes
Plato,Hannah_Arendt
Karl_Polanyi,György_Lukács
François_Furet,Raymond_Aron
J._M._E._McTaggart,Peter_Geach
Milič_Čapek,Isabelle_Stengers
Milič_Čapek,Rupert_Sheldrake
Milič_Čapek,William_Lane_Craig
Milič_Čapek,Gilles_Deleuze
Henry_Suso,Meister_Eckhart
Matthew_Arnold,Edmund_Burke
Dirck_Rembrantsz_van_Nierop,René_Descartes
Roger_Crisp,Peter_Singer
Ashraf_Ali_Thanwi,Burhan_al-Din_al-Marghinani
Josiah_Warren,Stephen_Pearl_Andrews
Josiah_Warren,Émile_Armand
Josiah_Warren,Ezra_Heywood
Josiah_Warren,William_Batchelder_Greene
Josiah_Warren,Benjamin_Tucker
Josiah_Warren,Lysander_Spooner
Josiah_Warren,John_Stuart_Mill
Family_therapy,Paul_Watzlawick
Jeanne_Hersch,Karl_Jaspers
Abdul_Aziz_al-Hakim,Muhsin_al-Hakim
Michael_Mann_(sociologist),Ernest_Gellner
Lucien_Lévy-Bruhl,Lev_Shestov
Muhammad_Hamidullah,International_law
Muhammad_Hamidullah,Sharia
Muhammad_Hamidullah,Contemporary_Islamic_philosophy
Carl_Jung,Immanuel_Kant
S._R._Ranganathan,Suzanne_Briet
Ahmad_ibn_al-Tayyib_al-Sarakhsi,Al-Kindi
Jean-François_Lyotard,Karl_Marx
Jean-François_Lyotard,Michel_de_Montaigne
Jean-François_Lyotard,Richard_Rorty
Mozi,School_of_Names
Heraclitus,Parmenides
Heraclitus,Friedrich_Nietzsche
Heraclitus,Friedrich_Engels
Heraclitus,Aristotle
Heraclitus,Martin_Heidegger
Heraclitus,Terence_McKenna
Heraclitus,Georg_Wilhelm_Friedrich_Hegel
Heraclitus,Karl_Popper
Heraclitus,Alfred_North_Whitehead
John_Selden,Samuel_von_Pufendorf
John_Selden,John_Locke
John_Selden,Edmund_Burke
John_Selden,William_Blackstone
John_Selden,Giambattista_Vico
John_Selden,Great_Tew
John_Selden,Richard_Cumberland_(philosopher)
John_Selden,Hugo_Grotius
John_Selden,Thomas_Hobbes
Fernando_González_(writer),Gonzalo_Arango
Fernando_González_(writer),Estanislao_Zuleta
Jacques_Ellul,Ivan_Illich
Jacques_Ellul,Langdon_Winner
Martin_Buber,Ivan_Böszörményi-Nagy
Martin_Buber,Ludwig_Feuerbach
Martin_Buber,Ludwig_Binswanger
Martin_Buber,Walter_Kaufmann_(philosopher)
Martin_Buber,A._D._Gordon
Martin_Buber,Rudolf_Steiner
Martin_Buber,Gabriel_Marcel
Martin_Buber,Emmanuel_Levinas
Martin_Buber,Paul_Tillich
Martin_Buber,Gershom_Scholem
Martin_Buber,Emil_Brunner
Alain_Finkielkraut,Hannah_Arendt
B._F._Skinner,Henry_David_Thoreau
B._F._Skinner,Alfred_North_Whitehead
Dewi_Zephaniah_Phillips,Simone_Weil
Leonard_Trelawny_Hobhouse,Thomas_Hill_Green
Steven_T._Byington,Max_Stirner
Grant_Allen,Herbert_Spencer
Jean_Baudrillard,Marshall_McLuhan
Jean_Baudrillard,Giannina_Braschi
Jean_Baudrillard,Cornelius_Castoriadis
Frankfurt_School,Friedrich_Engels
Frankfurt_School,Karl_Korsch
Frankfurt_School,György_Lukács
Frankfurt_School,Karl_Kautsky
Frankfurt_School,Karl_Marx
Frankfurt_School,Alexander_Herzen
Gilles-Gaston_Granger,Jean_Cavaillès
G._E._M._Anscombe,Peter_Geach
Gorgias,Antisthenes
Gorgias,Empedocles
Gorgias,Pericles
Gorgias,Zeno_of_Elea
Shah_Waliullah,Mirza_Mazhar_Jan-e-Janaan
Shah_Waliullah,Fiqh
Shah_Waliullah,Islamic_philosophy
Shah_Waliullah,Israr_Ahmed
Henry_David_Thoreau,George_Bernard_Shaw
Henry_David_Thoreau,Marcel_Proust
Henry_David_Thoreau,E._B._White
Henry_David_Thoreau,Émile_Armand
Henry_David_Thoreau,Christopher_McCandless
Henry_David_Thoreau,Ralph_Waldo_Emerson
Henry_David_Thoreau,E._O._Wilson
Henry_David_Thoreau,W._B._Yeats
Henry_David_Thoreau,Mohandas_Karamchand_Gandhi
Henry_David_Thoreau,Ernest_Hemingway
Henry_David_Thoreau,Upton_Sinclair
Henry_David_Thoreau,Sinclair_Lewis
Henry_David_Thoreau,"Martin_Luther_King,_Jr."
Henry_David_Thoreau,Emma_Goldman
Henry_David_Thoreau,John_Zerzan
Henry_David_Thoreau,John_F._Kennedy
Henry_David_Thoreau,Leo_Tolstoy
Kevin_Tucker,John_Zerzan
Sylvain_Lazarus,Alain_Badiou
David_Harvey_(geographer),R._Radhakrishnan
Nicolas_Malebranche,René_Descartes
Nicolas_Malebranche,David_Hume
Nicolas_Malebranche,Gottfried_Wilhelm_Leibniz
Nicolas_Malebranche,George_Berkeley
Nicolas_Malebranche,Giambattista_Vico
Nicolas_Malebranche,Montesquieu
Hamid_Dabashi,Edward_Said
C._D._Broad,A._J._Ayer
Xenocrates,Polemon_(scholarch)
Xenocrates,Speusippus
Xenocrates,Crantor
Michael_Parenti,Antonio_Gramsci
Two-Nation_Theory,Syed_Ahmed_Khan
Mario_Kopić,Gianni_Vattimo
Joseph_Beuys,Rudolf_Steiner
Isaac_Israeli_ben_Solomon,Al-Kindi
Cesare_Beccaria,Claude_Adrien_Helvétius
Honoré_de_Balzac,Joseph_de_Maistre
Dilthey,Friedrich_Adolf_Trendelenburg
Vladimir_Lossky,Nikolay_Lossky
Vasile_Pogor,Theodor_Rosetti
Vasile_Pogor,Alexandru_Dimitrie_Xenopol
Vasile_Pogor,Titu_Maiorescu
Andrei_Bely,Vladimir_Solovyov_(philosopher)
Parmenides,Friedrich_Nietzsche
Parmenides,Aristotle
Parmenides,Martin_Heidegger
Parmenides,Baruch_Spinoza
Parmenides,Pythagoras
Parmenides,Socrates
Parmenides,Melissus_of_Samos
