ID,Item
1,Phone_case
1,Extra_charger
1,Screen_protector
1,Signal_booster
1,Car_charger
2,Bluetooth_headset
2,Bluetooth_speaker
2,Dock_Station
3,Extra_charger
3,Car_charger
4,Bluetooth_headset
4,Bluetooth_speaker
4,Phone_case
5,Bluetooth_headset
5,Bluetooth_speaker
5,Phone_case
6,Bluetooth_headset
6,Bluetooth_speaker
6,Phone_case
7,Screen_protector
7,Extra_cable
8,Bluetooth_headset
8,Bluetooth_speaker
9,Bluetooth_headset
9,Bluetooth_speaker
9,Phone_case
10,Phone_case
10,Wearable
10,Bluetooth_headset
10,Signal_booster
