"NAME","MANUF","TYPE","CALORIES","PROTEIN","FAT","SODIUM","FIBER","CARBO","SUGARS","POTASS","VITAMINS","SHELF","WEIGHT","CUPS","RATING"
"100%_Bran                             ","N  ","C   ",0.18181818181818182,4,1,0.40625,10.0,5.0,6,0.8489425981873111,25,3,1.0,0.33,68.402973
"100%_Natural_Bran                     ","Q  ","C   ",0.6363636363636362,3,5,0.046875,2.0,8.0,8,0.41087613293051356,0,3,1.0,1.0,33.983679
"All-Bran                              ","K  ","C   ",0.18181818181818182,4,1,0.8125,9.0,7.0,5,0.9697885196374622,25,3,1.0,0.33,59.425505
"All-Bran_with_Extra_Fiber             ","K  ","C   ",0.0,4,0,0.4375,14.0,8.0,0,1.0,25,3,1.0,0.5,93.704912
"Almond_Delight                        ","R  ","C   ",0.5454545454545454,2,2,0.625,1.0,14.0,8,0.0,25,3,1.0,0.75,34.384843
"Basic_4                               ","G  ","C   ",0.7272727272727271,3,2,0.65625,2.0,18.0,8,0.3051359516616314,25,3,1.33,0.75,37.038562
"Bran_Flakes                           ","P  ","C   ",0.3636363636363636,3,0,0.65625,5.0,13.0,5,0.5770392749244713,25,3,1.0,0.67,53.313813
"Clusters                              ","G  ","C   ",0.5454545454545454,3,2,0.4375,2.0,13.0,7,0.3202416918429003,25,3,1.0,0.5,40.400208
"Cracklin'_Oat_Bran                    ","K  ","C   ",0.5454545454545454,3,3,0.4375,4.0,10.0,7,0.48640483383685795,25,3,1.0,0.5,40.448772
"Crispix                               ","K  ","C   ",0.5454545454545454,2,0,0.6875,1.0,21.0,3,0.09365558912386707,25,3,1.0,1.0,46.895644
"Crispy_Wheat_&_Raisins                ","G  ","C   ",0.45454545454545453,2,1,0.4375,2.0,11.0,10,0.3655589123867069,25,3,1.0,0.75,36.176196
"Double_Chex                           ","R  ","C   ",0.45454545454545453,2,0,0.59375,1.0,18.0,5,0.24471299093655588,25,3,1.0,0.75,44.330856
