Number of words,54041
Number of unique words,4531
Average word frequency,11.926948
Entropy,7.652777

Word,Frequency,Proportion,Entropy Term
bro,30,0.000555,0.004161
just,509,0.009419,0.043939
wanna,47,0.000870,0.006129
escape,7,0.000130,0.001160
isolated,3,0.000056,0.000544
cool,38,0.000703,0.005105
afraid,7,0.000130,0.001160
easily,8,0.000148,0.001305
lose,14,0.000259,0.002139
eyes,20,0.000370,0.002924
literally,45,0.000833,0.005905
vp,59,0.001092,0.007446
potus,27,0.000500,0.003798
problem,29,0.000537,0.004041
moron,6,0.000111,0.001011
searchbabe,68,0.001258,0.008403
anycost,68,0.001258,0.008403
search,138,0.002554,0.015246
babe,74,0.001369,0.009029
whats,119,0.002202,0.013473
notlost,68,0.001258,0.008403
comes,95,0.001758,0.011152
todays,27,0.000500,0.003798
years,72,0.001332,0.008821
education,14,0.000259,0.002139
taught,6,0.000111,0.001011
love,271,0.005015,0.026555
motivation,5,0.000093,0.000859
gym,12,0.000222,0.001868
pouring,6,0.000111,0.001011
k,11,0.000204,0.001730
n,34,0.000629,0.004638
d,10,0.000185,0.001590
o,35,0.000648,0.004755
f,15,0.000278,0.002273
c,21,0.000389,0.003052
h,8,0.000148,0.001305
u,155,0.002868,0.016791
r,31,0.000574,0.004281
hi,36,0.000666,0.004872
treat,12,0.000222,0.001868
like,446,0.008253,0.039591
salad,5,0.000093,0.000859
bar,20,0.000370,0.002924
major,12,0.000222,0.001868
vintage,6,0.000111,0.001011
vibes,18,0.000333,0.002667
bridal,6,0.000111,0.001011
ha,18,0.000333,0.002667
worlds,4,0.000074,0.000704
selling,10,0.000185,0.001590
said,68,0.001258,0.008403
really,160,0.002961,0.017238
start,55,0.001018,0.007012
checking,7,0.000130,0.001160
people,246,0.004552,0.024546
mentally,4,0.000074,0.000704
job,403,0.007457,0.036530
great,242,0.004478,0.024220
fit,96,0.001776,0.011250
inhouse,12,0.000222,0.001868
jobs,29,0.000537,0.004041
jdhuntr,20,0.000370,0.002924
associate,24,0.000444,0.003428
general,16,0.000296,0.002406
counsel,12,0.000222,0.001868
monday,94,0.001739,0.011053
positivity,3,0.000056,0.000544
gloomy,4,0.000074,0.000704
weather,45,0.000833,0.005905
home,90,0.001665,0.010655
funny,31,0.000574,0.004281
totally,9,0.000167,0.001449
true,36,0.000666,0.004872
facts,22,0.000407,0.003178
spraguepaul,3,0.000056,0.000544
mirtaimperatori,3,0.000056,0.000544
thetacompass,3,0.000056,0.000544
marshacollier,4,0.000074,0.000704
weekend,56,0.001036,0.007121
tonight,49,0.000907,0.006352
ill,58,0.001073,0.007338
getting,79,0.001462,0.009543
lmfaoooo,4,0.000074,0.000704
yes,68,0.001258,0.008403
chase,5,0.000093,0.000859
dreams,11,0.000204,0.001730
youll,16,0.000296,0.002406
catch,12,0.000222,0.001868
lizweston,3,0.000056,0.000544
agree,22,0.000407,0.003178
b,32,0.000592,0.004401
lifetime,3,0.000056,0.000544
eventually,4,0.000074,0.000704
let,63,0.001166,0.007874
guard,5,0.000093,0.000859
know,210,0.003886,0.021568
ou,6,0.000111,0.001011
boo,8,0.000148,0.001305
roger,4,0.000074,0.000704
math,6,0.000111,0.001011
firefoxscout,3,0.000056,0.000544
firefox,3,0.000056,0.000544
trying,67,0.001240,0.008298
adblockplus,3,0.000056,0.000544
web,8,0.000148,0.001305
profile,3,0.000056,0.000544
sign,21,0.000389,0.003052
obsession,5,0.000093,0.000859
dinner,11,0.000204,0.001730
foodie,7,0.000130,0.001160
thanks,119,0.002202,0.013473
s,42,0.000777,0.005565
hear,51,0.000944,0.006574
nyc,223,0.004126,0.022656
recording,7,0.000130,0.001160
debut,10,0.000185,0.001590
kims,6,0.000111,0.001011
town,9,0.000167,0.001449
michaels,8,0.000148,0.001305
cichael,5,0.000093,0.000859
recommend,91,0.001684,0.010755
ny,414,0.007661,0.037321
forget,17,0.000315,0.002537
obsessed,5,0.000093,0.000859
life,112,0.002073,0.012806
look,101,0.001869,0.011741
tattoo,5,0.000093,0.000859
movies,17,0.000315,0.002537
reasons,3,0.000056,0.000544
flooding,3,0.000056,0.000544
label,5,0.000093,0.000859
wont,31,0.000574,0.004281
drop,16,0.000296,0.002406
album,19,0.000352,0.002796
wo,6,0.000111,0.001011
em,24,0.000444,0.003428
radio,4,0.000074,0.000704
rn,20,0.000370,0.002924
theyll,8,0.000148,0.001305
given,8,0.000148,0.001305
actually,48,0.000888,0.006241
hiring,140,0.002591,0.015429
click,136,0.002517,0.015062
apply,93,0.001721,0.010953
registered,5,0.000093,0.000859
nurse,6,0.000111,0.001011
watching,44,0.000814,0.005792
ball,16,0.000296,0.002406
family,45,0.000833,0.005905
loves,7,0.000130,0.001160
record,12,0.000222,0.001868
best,134,0.002480,0.014877
looking,101,0.001869,0.011741
democratic,3,0.000056,0.000544
party,59,0.001092,0.007446
planet,7,0.000130,0.001160
named,5,0.000093,0.000859
john,29,0.000537,0.004041
el,73,0.001351,0.008925
che,6,0.000111,0.001011
fue,3,0.000056,0.000544
los,41,0.000759,0.005450
ms,22,0.000407,0.003178
en,87,0.001610,0.010354
la,101,0.001869,0.011741
happy,203,0.003756,0.020977
columbus,129,0.002387,0.014412
day,375,0.006939,0.034492
lol,159,0.002942,0.017149
dumb,20,0.000370,0.002924
sa,8,0.000148,0.001305
beautiful,48,0.000888,0.006241
night,67,0.001240,0.008298
baby,42,0.000777,0.005565
dr,18,0.000333,0.002667
marvel,21,0.000389,0.003052
nycomiccon,18,0.000333,0.002667
barackobama,5,0.000093,0.000859
attached,3,0.000056,0.000544
realdonaldtrump,87,0.001610,0.010354
loser,3,0.000056,0.000544
view,70,0.001295,0.008613
windows,6,0.000111,0.001011
today,224,0.004145,0.022739
house,43,0.000796,0.005678
open,31,0.000574,0.004281
come,83,0.001536,0.009950
visit,22,0.000407,0.003178
hungry,7,0.000130,0.001160
indigenous,43,0.000796,0.005678
immigrant,3,0.000056,0.000544
communities,3,0.000056,0.000544
recent,7,0.000130,0.001160
lets,72,0.001332,0.008821
celebrate,26,0.000481,0.003675
remember,44,0.000814,0.005792
kids,31,0.000574,0.004281
global,8,0.000148,0.001305
warming,4,0.000074,0.000704
god,66,0.001221,0.008192
shame,7,0.000130,0.001160
condoning,3,0.000056,0.000544
republicans,8,0.000148,0.001305
etiquette,5,0.000093,0.000859
stand,25,0.000463,0.003552
matter,18,0.000333,0.002667
discuss,5,0.000093,0.000859
niggas,20,0.000370,0.002924
beating,4,0.000074,0.000704
bitch,33,0.000611,0.004519
powerful,8,0.000148,0.001305
mondaymotivaton,4,0.000074,0.000704
mrontheborder,5,0.000093,0.000859
intyze,5,0.000093,0.000859
forgot,19,0.000352,0.002796
channel,6,0.000111,0.001011
excited,43,0.000796,0.005678
spinning,3,0.000056,0.000544
thursday,21,0.000389,0.003052
rsvp,4,0.000074,0.000704
brother,9,0.000167,0.001449
need,174,0.003220,0.018477
heart,35,0.000648,0.004755
does,70,0.001295,0.008613
gods,3,0.000056,0.000544
clean,26,0.000481,0.003675
power,39,0.000722,0.005221
plan,18,0.000333,0.002667
epa,6,0.000111,0.001011
walking,19,0.000352,0.002796
honestly,20,0.000370,0.002924
theview,11,0.000204,0.001730
nycc,70,0.001295,0.008613
amazing,70,0.001295,0.008613
check,104,0.001924,0.012034
photos,24,0.000444,0.003428
cosplay,35,0.000648,0.004755
events,12,0.000222,0.001868
ooh,3,0.000056,0.000544
good,222,0.004108,0.022573
