Number of pairs,13911.000000
Number of unique pairs,2640
Average pair frequency,5.269318
Pair entropy,7.535640

Pair,Frequency,Proportion,Entropy Term,Mutual Information
finally got,6.000000,0.000431,0.003342,4.502887
finally getting,3.000000,0.000216,0.001821,4.693695
finally said,3.000000,0.000216,0.001821,4.866967
piece shit,7.000000,0.000503,0.003822,5.760592
home run,4.000000,0.000288,0.002345,5.376949
home day,3.000000,0.000216,0.001821,3.686443
home just,6.000000,0.000431,0.003342,3.165829
home yankees,4.000000,0.000288,0.002345,3.715551
does like,5.000000,0.000359,0.002851,3.201149
does look,3.000000,0.000216,0.001821,4.428712
does mean,3.000000,0.000216,0.001821,4.900869
feel like,34.000000,0.002444,0.014699,4.807016
feel way,3.000000,0.000216,0.001821,3.879572
feel need,3.000000,0.000216,0.001821,3.632976
feel better,7.000000,0.000503,0.003822,4.779055
feel good,4.000000,0.000288,0.002345,3.444877
feel want,3.000000,0.000216,0.001821,3.435321
feel going,3.000000,0.000216,0.001821,3.520358
feel bad,5.000000,0.000359,0.002851,4.695174
feel really,4.000000,0.000288,0.002345,3.706830
feel place,3.000000,0.000216,0.001821,4.936684
like feel,3.000000,0.000216,0.001821,2.379268
like run,5.000000,0.000359,0.002851,3.698551
like game,5.000000,0.000359,0.002851,2.192008
like playing,5.000000,0.000359,0.002851,3.214755
like man,3.000000,0.000216,0.001821,2.303040
like way,4.000000,0.000288,0.002345,2.511386
like right,7.000000,0.000503,0.003822,2.747936
like day,5.000000,0.000359,0.002851,2.295728
like love,8.000000,0.000575,0.004291,2.134576
like days,4.000000,0.000288,0.002345,3.107683
like make,7.000000,0.000503,0.003822,2.844474
like night,3.000000,0.000216,0.001821,1.997176
like hours,3.000000,0.000216,0.001821,3.468028
like world,4.000000,0.000288,0.002345,2.964582
like just,9.000000,0.000647,0.004751,1.669754
like know,10.000000,0.000719,0.005203,2.618631
like bed,3.000000,0.000216,0.001821,3.560401
like got,7.000000,0.000503,0.003822,2.480394
like need,4.000000,0.000288,0.002345,2.264791
like didnt,4.000000,0.000288,0.002345,2.697103
like lol,5.000000,0.000359,0.002851,2.436310
like say,4.000000,0.000288,0.002345,2.628110
like gonna,9.000000,0.000647,0.004751,3.348069
like watching,3.000000,0.000216,0.001821,2.599939
like fucking,5.000000,0.000359,0.002851,2.832385
like wtf,3.000000,0.000216,0.001821,3.410869
like u,10.000000,0.000719,0.005203,3.062563
like good,5.000000,0.000359,0.002851,2.012153
like hes,5.000000,0.000359,0.002851,3.039306
like want,5.000000,0.000359,0.002851,2.290278
like people,4.000000,0.000288,0.002345,1.865970
like fall,3.000000,0.000216,0.001821,3.165747
